id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
312,Allen St & Stanton St,3,31,40.722055,-73.989111,In Service,1,28,Allen St & Stanton St,,,,,,false,2020-02-22 10:46:37 AM,
313,Washington Ave & Park Ave,4,23,40.69610226,-73.96751037,In Service,1,19,Washington Ave & Park Ave,,,,,,false,2020-02-22 10:47:43 AM,
315,South St & Gouverneur Ln,7,29,40.70355377,-74.00670227,In Service,1,22,South St & Gouverneur Ln,,,,,,false,2020-02-22 10:48:45 AM,
316,Fulton St & William St,3,43,40.70955958,-74.00653609,In Service,1,38,Fulton St & William St,,,,,,false,2020-02-22 10:49:35 AM,
317,E 6 St & Avenue B,25,54,40.72453734,-73.98185424,In Service,1,29,E 6 St & Avenue B,,,,,,false,2020-02-22 10:48:11 AM,
319,Fulton St & Broadway,22,33,40.711066,-74.009447,In Service,1,10,Fulton St & Broadway,,,,,,false,2020-02-22 10:46:38 AM,
320,Leonard St & Church St,0,39,40.717571,-74.005549,In Service,1,37,Leonard St & Church St,,,,,,false,2020-02-22 10:47:14 AM,
321,Cadman Plaza E & Red Cross Pl,22,27,40.69991755,-73.98971773,In Service,1,5,Cadman Plaza E & Red Cross Pl,,,,,,false,2020-02-22 10:49:23 AM,
323,Lawrence St & Willoughby St,27,39,40.69236178,-73.98631746,In Service,1,12,Lawrence St & Willoughby St,,,,,,false,2020-02-22 10:50:07 AM,
324,DeKalb Ave & Hudson Ave,11,51,40.689888,-73.981013,In Service,1,40,DeKalb Ave & Hudson Ave,,,,,,false,2020-02-22 10:48:14 AM,
325,E 19 St & 3 Ave,24,35,40.73624527,-73.98473765,In Service,1,11,E 19 St & 3 Ave,,,,,,false,2020-02-22 10:50:09 AM,
326,E 11 St & 1 Ave,15,41,40.72953837,-73.98426726,In Service,1,24,E 11 St & 1 Ave,,,,,,false,2020-02-22 10:49:57 AM,
327,Vesey Pl & River Terrace,1,39,40.7153379,-74.01658354,In Service,1,37,Vesey Pl & River Terrace,,,,,,false,2020-02-22 10:49:53 AM,
328,Watts St & Greenwich St,21,23,40.72405549,-74.00965965,In Service,1,1,Watts St & Greenwich St,,,,,,false,2020-02-22 10:49:05 AM,
330,Reade St & Broadway,19,39,40.71450451,-74.00562789,In Service,1,18,Reade St & Broadway,,,,,,false,2020-02-22 10:49:05 AM,
331,Pike St & Monroe St,10,27,40.71173107,-73.99193043,In Service,1,17,Pike St & Monroe St,,,,,,false,2020-02-22 10:47:56 AM,
332,Cherry St,31,36,40.71219906,-73.97948148,In Service,1,5,Cherry St,,,,,,false,2020-02-22 10:47:07 AM,
334,W 20 St & 7 Ave,28,31,40.74238787,-73.99726235,In Service,1,2,W 20 St & 7 Ave,,,,,,false,2020-02-22 10:49:03 AM,
335,Washington Pl & Broadway,5,27,40.72903917,-73.99404649,In Service,1,21,Washington Pl & Broadway,,,,,,false,2020-02-22 10:46:26 AM,
336,Sullivan St & Washington Sq,9,36,40.73047747,-73.99906065,In Service,1,25,Sullivan St & Washington Sq,,,,,,false,2020-02-22 10:46:01 AM,
337,Old Slip & Front St,31,37,40.7037992,-74.00838676,In Service,1,6,Old Slip & Front St,,,,,,false,2020-02-22 10:49:00 AM,
339,Avenue D & E 12 St,25,30,40.72580614,-73.97422494,In Service,1,5,Avenue D & E 12 St,,,,,,false,2020-02-22 10:49:15 AM,
340,Madison St & Clinton St,19,27,40.71269042,-73.98776323,In Service,1,8,Madison St & Clinton St,,,,,,false,2020-02-22 10:49:22 AM,
341,Stanton St & Mangin St,10,19,40.71782143,-73.97628939,In Service,1,9,Stanton St & Mangin St,,,,,,false,2020-02-22 10:49:40 AM,
342,Columbia St & Rivington St,22,29,40.71739973,-73.98016555,In Service,1,5,Columbia St & Rivington St,,,,,,false,2020-02-22 10:47:21 AM,
343,Clinton Ave & Flushing Ave,1,23,40.69794,-73.96986848,In Service,1,20,Clinton Ave & Flushing Ave,,,,,,false,2020-02-22 10:48:54 AM,
344,Monroe St & Bedford Ave,19,23,40.6851443,-73.95380904,In Service,1,4,Monroe St & Bedford Ave,,,,,,false,2020-02-22 10:46:46 AM,
